"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2013-01-01,21958,NA,NA
"2",NA,"ACTUAL","actual",2014-05-01,23756,NA,NA
"3",NA,"ACTUAL","actual",2022-03-01,21650,NA,NA
"4",NA,"ACTUAL","actual",2022-02-01,19183,NA,NA
"5",NA,"ACTUAL","actual",2012-05-01,23183,NA,NA
"6",NA,"ACTUAL","actual",2011-06-01,22086,NA,NA
"7",NA,"ACTUAL","actual",2004-03-01,25791,NA,NA
"8",NA,"ACTUAL","actual",2023-09-01,18477,NA,NA
"9",NA,"ACTUAL","actual",2008-08-01,20910,NA,NA
"10",NA,"ACTUAL","actual",2000-04-01,25819,NA,NA
"11",NA,"ACTUAL","actual",2002-10-01,21825,NA,NA
"12",NA,"ACTUAL","actual",2024-05-01,19887,NA,NA
"13",NA,"ACTUAL","actual",2022-07-01,19294,NA,NA
"14",NA,"ACTUAL","actual",2000-02-01,25333,NA,NA
"15",NA,"ACTUAL","actual",2000-10-01,23929,NA,NA
"16",NA,"ACTUAL","actual",2019-07-01,21674,NA,NA
"17",NA,"ACTUAL","actual",2008-03-01,23216,NA,NA
"18",NA,"ACTUAL","actual",2017-01-01,20291,NA,NA
"19",NA,"ACTUAL","actual",2021-06-01,20047,NA,NA
"20",NA,"ACTUAL","actual",2000-06-01,25746,NA,NA
"21",NA,"ACTUAL","actual",2016-10-01,18988,NA,NA
"22",NA,"ACTUAL","actual",2016-05-01,23532,NA,NA
"23",NA,"ACTUAL","actual",2016-04-01,23367,NA,NA
"24",NA,"ACTUAL","actual",2015-12-01,21754,NA,NA
"25",NA,"ACTUAL","actual",2008-07-01,22007,NA,NA
"26",NA,"ACTUAL","actual",2003-09-01,23492,NA,NA
"27",NA,"ACTUAL","actual",2021-03-01,22439,NA,NA
"28",NA,"ACTUAL","actual",2010-07-01,20889,NA,NA
"29",NA,"ACTUAL","actual",2006-02-01,20877,NA,NA
"30",NA,"ACTUAL","actual",2015-07-01,22044,NA,NA
"31",NA,"ACTUAL","actual",2001-07-01,24710,NA,NA
"32",NA,"ACTUAL","actual",2020-03-01,22956,NA,NA
"33",NA,"ACTUAL","actual",2018-02-01,20797,NA,NA
"34",NA,"ACTUAL","actual",2021-01-01,20291,NA,NA
"35",NA,"ACTUAL","actual",2002-07-01,24245,NA,NA
"36",NA,"ACTUAL","actual",2007-08-01,20491,NA,NA
"37",NA,"ACTUAL","actual",2017-04-01,22729,NA,NA
"38",NA,"ACTUAL","actual",2017-12-01,21096,NA,NA
"39",NA,"ACTUAL","actual",2005-04-01,24580,NA,NA
"40",NA,"ACTUAL","actual",2003-08-01,22878,NA,NA
"41",NA,"ACTUAL","actual",2013-06-01,21585,NA,NA
"42",NA,"ACTUAL","actual",2016-12-01,18709,NA,NA
"43",NA,"ACTUAL","actual",2022-11-01,18486,NA,NA
"44",NA,"ACTUAL","actual",2006-08-01,21887,NA,NA
"45",NA,"ACTUAL","actual",2020-02-01,20235,NA,NA
"46",NA,"ACTUAL","actual",2007-05-01,23676,NA,NA
"47",NA,"ACTUAL","actual",2000-01-01,24675,NA,NA
"48",NA,"ACTUAL","actual",2016-02-01,22369,NA,NA
"49",NA,"ACTUAL","actual",2014-04-01,23640,NA,NA
"50",NA,"ACTUAL","actual",2003-04-01,25701,NA,NA
"51",NA,"ACTUAL","actual",2011-03-01,25010,NA,NA
"52",NA,"ACTUAL","actual",2010-04-01,22277,NA,NA
"53",NA,"ACTUAL","actual",2006-09-01,22489,NA,NA
"54",NA,"ACTUAL","actual",2007-03-01,24928,NA,NA
"55",NA,"ACTUAL","actual",2014-09-01,21373,NA,NA
"56",NA,"ACTUAL","actual",2010-10-01,20333,NA,NA
"57",NA,"ACTUAL","actual",2009-06-01,20418,NA,NA
"58",NA,"ACTUAL","actual",2014-01-01,22607,NA,NA
"59",NA,"ACTUAL","actual",2020-04-01,22831,NA,NA
"60",NA,"ACTUAL","actual",2021-10-01,19096,NA,NA
"61",NA,"ACTUAL","actual",2005-10-01,22424,NA,NA
"62",NA,"ACTUAL","actual",2016-07-01,20883,NA,NA
"63",NA,"ACTUAL","actual",2022-04-01,20760,NA,NA
"64",NA,"ACTUAL","actual",2015-11-01,20289,NA,NA
"65",NA,"ACTUAL","actual",2007-07-01,21498,NA,NA
"66",NA,"ACTUAL","actual",2002-04-01,26343,NA,NA
"67",NA,"ACTUAL","actual",2017-05-01,23875,NA,NA
"68",NA,"ACTUAL","actual",2017-06-01,22742,NA,NA
"69",NA,"ACTUAL","actual",2023-03-01,22146,NA,NA
"70",NA,"ACTUAL","actual",2000-07-01,25784,NA,NA
"71",NA,"ACTUAL","actual",2023-12-01,17551,NA,NA
"72",NA,"ACTUAL","actual",2005-07-01,23265,NA,NA
"73",NA,"ACTUAL","actual",2006-03-01,24365,NA,NA
"74",NA,"ACTUAL","actual",2004-10-01,22031,NA,NA
