"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2013-01-01,1429,NA,NA
"2",NA,"ACTUAL","actual",2009-02-01,1369,NA,NA
"3",NA,"ACTUAL","actual",2011-01-01,1409,NA,NA
"4",NA,"ACTUAL","actual",2012-09-01,1391,NA,NA
"5",NA,"ACTUAL","actual",2008-06-01,1501,NA,NA
"6",NA,"ACTUAL","actual",2015-03-01,1528,NA,NA
"7",NA,"ACTUAL","actual",2004-09-01,1252,NA,NA
"8",NA,"ACTUAL","actual",2009-01-01,1453,NA,NA
"9",NA,"ACTUAL","actual",2016-07-01,1288,NA,NA
"10",NA,"ACTUAL","actual",2023-09-01,1169,NA,NA
"11",NA,"ACTUAL","actual",2020-06-01,1218,NA,NA
"12",NA,"ACTUAL","actual",2015-02-01,1333,NA,NA
"13",NA,"ACTUAL","actual",2018-04-01,1554,NA,NA
"14",NA,"ACTUAL","actual",2021-06-01,1305,NA,NA
"15",NA,"ACTUAL","actual",2021-11-01,1276,NA,NA
"16",NA,"ACTUAL","actual",2023-10-01,1221,NA,NA
"17",NA,"ACTUAL","actual",2017-08-01,1319,NA,NA
"18",NA,"ACTUAL","actual",2006-02-01,1292,NA,NA
"19",NA,"ACTUAL","actual",2012-08-01,1257,NA,NA
"20",NA,"ACTUAL","actual",2004-05-01,1606,NA,NA
"21",NA,"ACTUAL","actual",2008-07-01,1465,NA,NA
"22",NA,"ACTUAL","actual",2020-10-01,1248,NA,NA
"23",NA,"ACTUAL","actual",2004-03-01,1452,NA,NA
"24",NA,"ACTUAL","actual",2016-08-01,1297,NA,NA
"25",NA,"ACTUAL","actual",2020-07-01,1321,NA,NA
"26",NA,"ACTUAL","actual",2021-05-01,1428,NA,NA
"27",NA,"ACTUAL","actual",2011-08-01,1455,NA,NA
"28",NA,"ACTUAL","actual",2012-11-01,1428,NA,NA
"29",NA,"ACTUAL","actual",2008-03-01,1554,NA,NA
"30",NA,"ACTUAL","actual",2020-02-01,1163,NA,NA
"31",NA,"ACTUAL","actual",2012-10-01,1458,NA,NA
"32",NA,"ACTUAL","actual",2011-12-01,1450,NA,NA
"33",NA,"ACTUAL","actual",2014-04-01,1428,NA,NA
"34",NA,"ACTUAL","actual",2014-12-01,1421,NA,NA
"35",NA,"ACTUAL","actual",2009-08-01,1333,NA,NA
"36",NA,"ACTUAL","actual",2014-05-01,1592,NA,NA
"37",NA,"ACTUAL","actual",2022-12-01,1239,NA,NA
"38",NA,"ACTUAL","actual",2007-05-01,1434,NA,NA
"39",NA,"ACTUAL","actual",2006-04-01,1562,NA,NA
"40",NA,"ACTUAL","actual",2010-02-01,1185,NA,NA
"41",NA,"ACTUAL","actual",2017-05-01,1494,NA,NA
"42",NA,"ACTUAL","actual",2008-11-01,1476,NA,NA
"43",NA,"ACTUAL","actual",2012-01-01,1462,NA,NA
"44",NA,"ACTUAL","actual",2016-01-01,1394,NA,NA
"45",NA,"ACTUAL","actual",2003-10-01,1211,NA,NA
"46",NA,"ACTUAL","actual",2023-12-01,1136,NA,NA
"47",NA,"ACTUAL","actual",2003-01-01,1428,NA,NA
"48",NA,"ACTUAL","actual",2002-04-01,1155,NA,NA
"49",NA,"ACTUAL","actual",2015-06-01,1397,NA,NA
"50",NA,"ACTUAL","actual",2006-11-01,1063,NA,NA
"51",NA,"ACTUAL","actual",2019-10-01,1380,NA,NA
"52",NA,"ACTUAL","actual",2000-06-01,1257,NA,NA
"53",NA,"ACTUAL","actual",2008-04-01,1542,NA,NA
"54",NA,"ACTUAL","actual",2022-02-01,1128,NA,NA
"55",NA,"ACTUAL","actual",2014-02-01,1305,NA,NA
"56",NA,"ACTUAL","actual",2023-02-01,1071,NA,NA
"57",NA,"ACTUAL","actual",2003-07-01,1294,NA,NA
"58",NA,"ACTUAL","actual",2007-09-01,1313,NA,NA
"59",NA,"ACTUAL","actual",2000-03-01,1289,NA,NA
"60",NA,"ACTUAL","actual",2022-05-01,1305,NA,NA
"61",NA,"ACTUAL","actual",2021-07-01,1223,NA,NA
"62",NA,"ACTUAL","actual",2001-04-01,1360,NA,NA
"63",NA,"ACTUAL","actual",2010-11-01,1296,NA,NA
"64",NA,"ACTUAL","actual",2016-06-01,1273,NA,NA
"65",NA,"ACTUAL","actual",2006-01-01,1300,NA,NA
"66",NA,"ACTUAL","actual",2017-01-01,1323,NA,NA
"67",NA,"ACTUAL","actual",2011-05-01,1742,NA,NA
"68",NA,"ACTUAL","actual",2018-03-01,1425,NA,NA
"69",NA,"ACTUAL","actual",2010-03-01,1534,NA,NA
"70",NA,"ACTUAL","actual",2015-01-01,1370,NA,NA
